frame,time_s,x_px,y_px,width_px,height_px,aspect
0,0.0,444,841,206,161,1.279503105590062
40,0.6665673146148309,586,228,96,379,0.2532981530343008
80,1.3331346292296617,162,588,321,114,2.8157894736842106
120,1.9997019438444925,235,651,257,79,3.253164556962555
160,2.6662692584593235,174,707,482,357,1.350140056022409
201,3.349500755939525,284,649,360,109,3.302752293577982
241,4.016068070554356,424,664,217,55,3.9454545454545453
281,4.682635385169187,387,616,333,110,3.0272727272727273
321,5.349202699784017,428,609,292,117,2.4957264957264957
361,6.015770014398848,347,636,295,86,3.4302325581395348
402,6.69900151187905,355,656,146,58,2.5172413793103448
442,7.365568826493881,425,638,223,56,3.982142857142857
482,8.032136141108712,403,753,317,38,8.342105263157896
522,8.698703455723543,359,596,361,132,2.734848484848485
563,9.381934953203745,483,639,190,77,2.46753246753255
603,10.048502267818575,372,605,348,143,2.4335664335664338
643,10.715069582433406,443,643,230,60,3.8333333333333335
683,11.381636897048237,373,647,302,93,3.247311827956989
723,12.048204211663068,388,605,332,131,2.534351145038017
764,12.73143570914327,397,608,323,134,2.41044776119403
804,13.3980030237581,384,677,336,129,2.604651162790698
844,14.064570338372931,148,769,372,86,4.325581395348837
884,14.731137652987762,493,1059,40,93,0.43010752688172044
925,15.414369150467964,226,174,494,58,8.517241379310345
